level,notation,prefLabel,scopeNote
0,Lists,Lists,"Simple or extended lists of terms with a flat, usually non-hierarchical structure, organized alphabetically or by topic, and often including definitions."
1,Dictionary,Dictionary,An alphabetically ordered list of terms with meanings and usage. 
1,List,List,A flat collection of terms without hierarchy or relationships. 
1,Glossary,Glossary,An alphabetically ordered list of specialized terms with short definitions. 
1,SynonymRing,Synonym Ring,A collection of terms with the same or similar meaning under a preferred term. 
0,DirectoriesWithMetadata,Directories with Metadata,"A directory of entities or resources with metadata, unique identifiers, alternative names, and additional attributes. "
1,Gazetteer,Gazetteer,A directory of geographic places with unique identifiers and metadata. 
1,NameAuthorityList,Name Authority List,"A directory of entities (e.g. persons, places, organizations) with standardized names and unique identifiers. "
0,Hierarchies ,Hierarchies ,"A hierarchical or flat structure that organizes concepts into categories or classes, supporting search and navigation through flexible keywords or standardized taxonomies. "
1,SubjectHeadingScheme,Subject Heading Scheme,A system combining subject headings into predefined term strings. 
1,CategorizationSchema,Categorization Schema,A system grouping terms into categories based on shared characteristics. 
1,ClassificationSchema,Classification Schema,A system organizing terms into classes using notations (e.g. numbers or codes). 
1,Taxonomy,Taxonomy,A system organizing terms in hierarchical relationships. 
0,SemanticSystems,Semantic Systems,"A complex, highly structured network in which nodes represent concepts and edges define relationships, varying in their level of formalization and types of relationships. "
1,Thesaurus,Thesaurus,"A system of terms with hierarchical, associative, and synonymous relationships. "
1,SemanticNetwork,Semantic Network,A system connecting concepts as nodes through relationships. 
1,Ontology,Ontology,A model of concepts with properties and logically defined relationships. 
1,KnowledgeGraph ,Knowledge Graph ,"A structured network of entities (e.g. persons, places, organizations) with properties and relationships. "
